name,country,mouse,dpi,sens
d4v41,Malaysia,Logitech G Pro X Superlight Black,900,0.46
MoriiSko,Czechia,Logitech G Pro X Superlight Magenta,400,1.485
JUGi,Denmark,Razer Deathadder V3 Pro Black,700,0.251
leaf,United States,FinalMouse Starlight Pro,800,0.156
red,Germany,Logitech G Pro X Superlight Black,800,0.8
f0rsakeN,Indonesia,Logitech G Pro X Superlight Black,800,0.712
Jinggg,Singapore,FinalMouse Starlight Pro,1600,0.2
qw1,Turkey,Logitech G Pro X Superlight Magenta,400,0.69
snatchie,Poland,ZOWIE EC1,400,1.35
CYPHER,United Kingdom,Logitech G Pro X Superlight White,400,3.06
volt,United Kingdom,Logitech G Pro X Superlight White,800,0.7
rallen,Poland,Logitech G Pro Wireless,1800,1.2
AYRIN,Canada,Razer Viper V2 Pro Black,800,0.3
nukkye,Lithuania,VAXEE XE Wireless Black,1600,0.175
ethos,United States,G-Wolves Hati S+ 4K,400,0.69
aristo,China,Logitech G Pro X Superlight Black,800,1.25
N4RRATE,United States,Logitech G Pro X Superlight Black,1600,0.16
MOLSI,Poland,Logitech G Pro X Superlight Black,1600,0.15
koalanoob,Canada,Logitech G Pro X Superlight Black,850,0.304
ceNder,Lithuania,Razer Deathadder V3 Pro White,400,1.35
hasteka,Mongolia,Logitech G Pro X Superlight Black,400,1.9
Rutk0,Slovakia,Logitech G Pro X Superlight Black,800,1.65
Laz,Japan,VAXEE XE Wireless White,800,0.355
Faide,United States,Logitech G Pro X Superlight Black,1700,0.8
SugarZ3ro,Japan,VAXEE XE Wireless White,800,0.27
Zander,Canada,Logitech G Pro X Superlight Magenta,1600,0.134
Jacob,Poland,SteelSeries Aerox 5 Wireless,800,0.617
Taxi2g,Denmark,Razer Deathadder V3 Pro White,1600,0.325
Bugha,United States,Logitech G Pro X Superlight Black,800,0.617
NBK-,France,Xtrfy M8 Black,800,1.2
bodyy,France,Logitech G Pro X Superlight Magenta,400,3.0
apEX,France,Razer Deathadder V3 Pro White,400,1.6
Marved,Canada,Razer Viper V2 Pro White,800,0.306
MAJ3R,Turkey,VAXEE XE Wireless White,400,1.8
misutaaa,France,VAXEE XE Wireless Pink,400,1.35
Altekz,Denmark,Logitech G Pro X Superlight White,400,1.4
gla1ve,Denmark,Razer Deathadder V3 Pro Black,400,1.8
blameF,Denmark,Logitech G Pro X Superlight Red,400,1.51
clear,Philippines,Razer Viper 8KHz,1600,0.125
Genghsta,Mongolia,Razer Deathadder V3 Pro White,1600,0.115
Nivera,Belgium,Razer Deathadder V3 Pro White,800,0.173
Buzz,Denmark,Logitech G Pro X Superlight Black,2300,0.42
steel,Canada,Razer Deathadder V3 Pro Black,800,0.45
Bart4k,Mongolia,Logitech G Pro X Superlight Red,400,2.0
Techno4K,Mongolia,Logitech G Pro X Superlight White,400,1.8
kabal,Mongolia,Logitech G Pro X Superlight Red,400,2.0
bLitz,Mongolia,Logitech G Pro X Superlight White,400,1.9
Twisten,Czechia,Razer Deathadder V3 Pro White,800,0.4
Attacker,China,VAXEE XE Wireless White,400,2.3
Summer,China,ZOWIE EC2-B,400,2.0
